"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
HoltburgAfrinWheat1204,Alfrin's_Stolen_Supplies,Loot Bage of Wheat,,Retreive Alfrin's Bag of Wheat Seed,FALSE
HoltburgAfrinDrudge1204,Alfrin's_Stolen_Supplies,Loot Drudge Robber Baron Head,,Retreive the head of the Drudge Robber Baron for Alfrin.,FALSE
HoltburgRedoubtCandlestick1204,Worcer's_Missing_Heirlooms,Loot Bronze Candlestick,,Retreive Hardunna's Candlestick,FALSE
HoltburgRedoubtBowl1204,Worcer's_Missing_Heirlooms,Loot Antique Bowl,,Retreive Worcer's Antique Bowl,FALSE
HoltburgRedoubtGoblet1204,Worcer's_Missing_Heirlooms,Loot Antique Goblet,,Retreive Worcer's Antique Goblet,FALSE
HoltburgRedoubtHandbell1204,Worcer's_Missing_Heirlooms,Loot Bronze Handbell,,Retreive Hardunna's Handbell,FALSE
HoltburgRedoubtLamp1204,Worcer's_Missing_Heirlooms,Loot Bronze Lamp,,Retreive Hardunna's Lamp,FALSE
AntiquePlatterQuest,Worcer's_Missing_Heirlooms,Loot Antique Platter,,Retreive Worcer's Antique Platter,FALSE
HardunnaBandQuest,Worcer's_Missing_Heirlooms,Loot Wedding Band,,Retreive Hardunna's Wedding Band,FALSE
DrudgeHideoutCompleted_1111,Alfrin's_Stolen_Supplies,Turn in any item to Alfrin,,Completed the Drudge Hideout Quest,FALSE
HoltburgRedoubtMug1204,Worcer's_Missing_Heirlooms,Loot Antique Mug,,Retreive Worcer's Antique Mug,FALSE
HoltburgRedoubtCompleted_1111,Worcer's_Missing_Heirlooms,Turn in 7 items to Worcer,,Completed the Holtburg Redoubt Quest,FALSE
ShoushiStoneCompassion,Four_Stones_of_Jojii,Pick up Stone of Compassion,,Stone of Compassion Quest,FALSE
ShoushiStoneDetachment,Four_Stones_of_Jojii,Pick up Stone of Detachment,,Stone of Detachment Quest,FALSE
ShoushiStoneDiscipline1204,Four_Stones_of_Jojii,Pick up Stone of Discipline,,Stone of Discipline Quest,FALSE
ShoushiStoneHumility1204,Four_Stones_of_Jojii,Pick up Stone of Humility,,Stone of Humility Quest,FALSE
AbandonedNuhmudira,Gelidite_Library_Quest,Pull Plain Lever,,Player left Nuhmudira to her fate.,FALSE
AbayarResearchNotes,Fiun_Spellcasting_Gloves_Quest,Loot Notes from Fiun Abayar,,Abayar's Research Notes (Fiun Spell Casting Gloves),FALSE
abhorrenteaterjaw,Abhorrent_Eater_Jaw_Quest,Loot jaw from Abhorrent Eater,,Abhorrent Eater Jaw,FALSE
AbyssalTotemGatewayFlag,Splitting_Grael_(High),Give Progenitor's Ichor to Hoshar,,Player has access to Abyssal Totem Gateway,FALSE
AccessAtlansLaboratory,Shadowfire_Stone_Quest,Give Translated Book to Ciandra in Xarabydun,,Access granted to the Atlan's Laboratory,FALSE
AccessBoss18,Colosseum_Arena,Complete Round 18,,Player completed Colo,FALSE
AccessBoss3,Colosseum_Arena,Complete Round 3,,Player entered Arena 3,FALSE
AccessBoss5,Colosseum_Arena,Complete Round 5,,Player entered Arena 5,FALSE
AccessBoss7,Colosseum_Arena,Complete Round 7,,Player entered Arena 7,FALSE
AccessBoss8,Colosseum_Arena,Complete Round 8,,Player entered Arena 8,FALSE
AccessEmpyreanWorkshop,Shadowfire_Stone_Quest,hand Repaired Shadow Stone to Ciandra,,Flagging for access to the Empyrean Workshop,FALSE
AccessRossuMortaChapterhouse,Rossu_Morta_Chapterhouse_Access,,,Access granted to the Rossu Morta Chapterhouse,FALSE
AccessSilyunChapterhouse,Whispering_Blade_Chapterhouse_Access,,,Access granted to the Silyun Chapterhouse,FALSE
AcidAxeTurnedIn,Acid_Axe_Quest,Hand Acid Axe to Ivory Crafter,"This TAKES the axe, make sure to show it to Hub npc first",Turned Acid Axe into Ivory Crafter.,FALSE
AcolyteHerrensKey_Pickup,Lost_Messenger,Loot Key from Acolyte Herren,,Player has picked up Acolyte Herrens Key,FALSE
AerbaxChestKey1Pickup,,,,Picked up the first Aerbax Key.,FALSE
AerbaxChestKey2Pickup,,,,Picked up the second Aerbax Key.,FALSE
aerbaxcitadelrewards1,Aerbax's_Citadel,,,Player has received the Empowered Helm of the Perfect Light,FALSE
aerbaxcitadelrewards3,Aerbax's_Citadel,,,Player has received the Empowered Greaves of the Perfect Light,FALSE
AerbaxCompletedWait,Aerbax's_Citadel,,,Players wait time to receive rewards for Aerbax Citadel,FALSE
aerbaxmaskshardpickuptimer,Aerbax's_Citadel,Pick up Aerbax Mask Shard from ground,,Picked up Aerbax Mask Shard,FALSE
AerbaxPlatformAccess,Aerbax's_Citadel,Be part of Fellowship when the turn in happens to flag to enter,Don't need to be the person who turns in,Player has started Aerbax Citadel,FALSE
aerbaxshadowdefeated,Aerbax's_Citadel,Be part of Fellowship when Aerbax's Shadow is defeated in final location,MUST be part of fellowship,Fellow has killed Aerbax,FALSE
aerbaxshadowdefeatedrepeat,Aerbax's_Citadel,Be part of Fellowship when Aerbax's Shadow is defeated in final location a second time,,Player has already killed Aerbax before,FALSE
AerbaxsProdigalBanderling_Start,Aerbax's_Prodigal_Banderling,Talk to Chief Taraash to flag your fellowship,,Player has started Aerbaxs Prodigal Banderling Quest,FALSE
AerbaxsProdigalBanderling_Wait,Aerbax's_Prodigal_Banderling,,,Player has completed Aerbaxs Prodigal Banderling Quest,FALSE
AerbaxsProdigalLugian_Flag,Aerbax's_Prodigal_Lugian,,,Player is flagged for Prodigal Lugian portion of lockbox,FALSE
AerbaxsProdigalLugian_Repeat,Aerbax's_Prodigal_Lugian,,,Player has completed Prodigal Lugian at least once,FALSE
AerbaxsProdigalLugian_Start,Aerbax's_Prodigal_Lugian,,,Player has started Aerbaxs Prodigal Lugian.,FALSE
AerbaxsProdigalLugian_Wait,Aerbax's_Prodigal_Lugian,,,Wait timer for Aerbaxs Prodigal Lugian,FALSE
AerbaxsProdigalMosswartCompleted,Aerbax's_Prodigal_Mosswart,,,Player wait timer for Aerbaxs Prodigal Mosswart Quest.,FALSE
AerbaxsProdigalMosswartRepeat,Aerbax's_Prodigal_Mosswart,,,Player has completed Aerbaxs Prodigal Mosswart Quest at least once.,FALSE
AerbaxsProdigalMosswartStarted,Aerbax's_Prodigal_Mosswart,,,Player has started Aerbaxs Prodigal Mosswart Quest.,FALSE
aerbaxsprodigaltumerokrepeat,Aerbax's_Prodigal_Tumerok,,,Repeating Aerbaxs Prodigal Tumerok quest,FALSE
aerbaxsprodigaltumerokstart,Aerbax's_Prodigal_Tumerok,,,Started Aerbaxs Prodigal Tumerok quest,FALSE
aerbaxsprodigaltumerokwait,Aerbax's_Prodigal_Tumerok,,,Finished Aerbaxs Prodigal Tumerok quest,FALSE
AerCyno,Lady_Aerfalle_Quest,,,Aerlinthe Cynosure,FALSE
AerfalleCharmPickup,Lady_Aerfalle_Quest,,,quest timer,FALSE
AerfalleEmbossedTokenPickup,Lady_Aerfalle_Quest,Uber Lady A token from Chest,,quest timer,FALSE
AerfalleStaffObtained,Lady_Aerfalle_Quest,Staff from any difficulty,,Staff of Aerfalle,FALSE
AerfalleTokenPickup,Lady_Aerfalle_Quest,Low Lady A Token,,quest timer,FALSE
AerlintheBellows,Lady_Aerfalle_Quest,Hand Pyreal Forge Bellows to Smithing Golem,No flag for pickup,Aerlinthe Bellows Found,FALSE
AerlintheSluice,Lady_Aerfalle_Quest,Hand Sluice Gate Bar to Repair Golem,No flag for pickup,Aerlinthe Magma Sluice Found,FALSE
AetheriumCoreFragmentPickupTimer,Unleash_the_Gearknights,Pick up Fragment from Iron Blade Lieutenant,,Pickup timer for Aetherium Core Fragment,FALSE
AetheriumRaidsHighCompleted_0210,Aetherium_Raid_(High),Turn in Bright Aetherium Ore Fragment,,Turned in a Bright Aetherium Ore Fragment,FALSE
AetheriumRaidsHighStarted_0210,Aetherium_Raid_(High),Speak to Sir Durnstad,,Aetherium Raid High Started,FALSE
AetheriumRaidsLowCompleted,Aetherium_Raid_(Low),Turn in Dull Aetherium Ore Fragment,,Turned in a Dull Aetherium Ore Fragment,FALSE
AetheriumRaidsLowStarted,Aetherium_Raid_(Low),Speak to Sir Oakley,,Aetherium Raid Low Started,FALSE
aggregateshardpickup,Crystalline_Adventurer,Pick up Shard from Aggregate Wisp,,Picked up Aggregate Crystalline Shard,FALSE
AllowBalorRobe,Aerbax's_Prodigal_Lugian,Show Pristine White Mattekar Hide to Lord Kresovus,,Player is flagged to have Yi Yo-Jin create Balors robe,FALSE
AmeliaToysInProgress,Amelia's_Lost_Toys,Speak to Amelia,,Flags a player while they are active in the Amelia Toys quest,FALSE
AmeliaToysWait,Amelia's_Lost_Toys,,,Timer for repeating the Amelia Lost Toys quest,FALSE
AncientDiscoveries,Dericost_Ruin_Quest,Loot Ancient Discoveries Book,,Dericost Ruin Quest - Reward Item Pickup Timer,FALSE
AncientGobletCompleted,Asheron's_Trail,Turn in Correct Goblet,,You have turned in the correct Ancient Goblet.,FALSE
AncientGobletPickup,Asheron's_Trail,Pick up any goblet,,You have picked up an Ancient Goblet.,FALSE
AncientNecklaceCompleted,Asheron's_Trail,Turn in Correct necklace,,You have turned in the correct Ancient Necklace.,FALSE
AncientNecklacePickup,Asheron's_Trail,Pick up any necklace,,You have picked up an Ancient Necklace.,FALSE
AncientRingCompleted,Asheron's_Trail,Turn in Correct Ring,,You have turned in the correct Ancient Ring.,FALSE
AncientRingPickup,Asheron's_Trail,Pick up any ring,,You have picked up an Ancient Ring.,FALSE
AndrilosAccused,Lunnum's_Disappearance,,,Andrilos shown sketch first time,FALSE
AndrilosLives,Lunnum's_Disappearance,,,Andrilos allowed to live,FALSE
AndrilosLivesExtraXP,Lunnum's_Disappearance,,,Player let Andrilos Live,FALSE
AndrilosLivesExtraXPWait,Lunnum's_Disappearance,,,Extra XP for letting Andrilos Live Wait Timer,FALSE
AndrilosShownSketch,Lunnum's_Disappearance,Hand sketch to Andrilos,,Andrilos shown the sketch,FALSE
ApostateBrokenMaskPickupTimer,Nexus_Crawl,Pick up Apostate Master's Broken Mask,,Timer for mask pick up,FALSE
ApostateFinaleCompleted_0910,Apostate_Finale,Speak to Emissary of Asheron after looting shard,,Apostate Finale timer,FALSE
ApostateFinaleMaskShardPickup,Apostate_Finale,Loot Shard of Apostate Grand Director's Broken Mask,,Picked up Apostate Grand Director mask shard,FALSE
ApostateFinaleStarted_0910,Apostate_Finale,Speak to Emissary of Asheron,,Apostate Finale Started,FALSE
ApostateNexusFlag,Nexus_Crawl,Speak to Ned the Clever,,Player flagged to enter Apostate Nexus,FALSE
ArikasSpoken,Halls_of_Knorr,"Speak to Arikas, Warden of Knorr",,Spoken to Arikas,FALSE
ArmoredilloKeyPickedUp,Bandits_of_the_Creepy_Chambers,Loot Armoredillo key from floor at end,,Armoredillo Key Pick Up timer,FALSE
AsheronsDepartureJournal,Asheron's_Trail,Hand Journal to Shan Zhen,,You have turned in Asheron's Depature Journal.,FALSE
askedzhofirst,Disturbance_in_the_Ley_Lines,Speak to Zho Heishan,Not sure if requires you not to talk to Lacarra,Spoke to Zho First,FALSE
AssassinsHideout_Flag,Lost_Messenger,Pick up Messenger's Journal from corpse at 54.2S 82.9W,,Access granted to the Assassins Hideout,FALSE
AssaultVaultAccessGranted0105,Assault_Quest,,,You have obtained access to the Royal Sewers!,FALSE
AsteliaryGem,Simulacra_Infiltrators,Loot orb from The Crafter,,Asteliary Gem,FALSE
AtamarrIron,Atamarr_Tasks,,,AtamarrIron flag,FALSE
AtamarrQuest,Atamarr_Tasks,,,AtamarrQuest flag,FALSE
AugmentationBlankGemAcquired,Aug_Gem:_Sir_Bellas,Loot Aug Gem from Bellas,,Blank Aug Gem Pickup Timer,FALSE
AugmentationProvingGroundAccess,Aug_Gem:_Sir_Bellas,Give Insatiable Eater Jaw to Fiun Rehlyun,,Flagged to Enter Augmentation Realm,FALSE
AugRunCaptiveFreed,Society_Infiltration,Talk to Captives in Society Infiltration quest,,Aug Run Captive Freed,FALSE
AurutisItemUpgrade_Flag,Aerbax's_Prodigal_Lugian,,,Player is flagged to have Aurutis upgrade an item from list,FALSE
AxeBrogordQuest,Brogord's_Demise,Loot Brogord's Axe,,Axe Brogord Quest,FALSE
axeofkorogaith,The_Shadows_of_Bitter_Winter,Loot Axe from Korogaith,,Axe of Korogaith pickup timer,FALSE
AyanBaqurMoarsmenComplete_0508,Moarsmen_on_the_Shores_(Ayan_Baqur),,,Player has completed the Ayan Baqur portion of Moarsmen on the Shores,FALSE
babythrungus1,Death's_Allure,Hand lifestone chips to Baby Thrungus,,babythrungus1 flag,FALSE
babythrungus2,Death's_Allure,Hand lifestone chips to Baby Thrungus,,babythrungus2 flag,FALSE
babythrungus3,Death's_Allure,Hand lifestone chips to Baby Thrungus,,babythrungus3 flag,FALSE
babythrungus4,Death's_Allure,Hand lifestone chips to Baby Thrungus,,babythrungus4 flag,FALSE
babythrungus5,Death's_Allure,Hand lifestone chips to Baby Thrungus,,babythrungus5 flag,FALSE
babythrungus6,Death's_Allure,Hand lifestone chips to Baby Thrungus,,babythrungus6 flag,FALSE
BackTunnelsAccess,Of_Trust_and_Betrayal,Speak to Jedeth Eckhart,,Access to the Back Tunnels dungeon granted,FALSE
BagPuzzleBlackBagCorrect,Clutch_of_Kings_(Reeshan),hand the Correct marbles to Black bag,,You picked the correct contents for the black bag.,FALSE
BagPuzzleCanGetHintMarble,Clutch_of_Kings_(Reeshan),Speak to Instructions,,You can get a hint marble.,FALSE
BagPuzzleMixedBagCorrect,Clutch_of_Kings_(Reeshan),Hand the correct marbles to mixed bag,,You picked the correct contents for the mixed bag.,FALSE
BagPuzzlePickBagVariant1,Clutch_of_Kings_(Reeshan),"Speak to instructions, this flags you for one of two solutions",,You have varient 1 of the bag puzzle.,FALSE
BagPuzzlePickBagVariant2,Clutch_of_Kings_(Reeshan),"Speak to instructions, this flags you for one of two solutions",,You have varient 2 of the bag puzzle.,FALSE
BagPuzzleSolved,Clutch_of_Kings_(Reeshan),Hand correct marbles to all 3 bags,,You've compleated the Clutch of Kings three bags puzzle.,FALSE
BagPuzzleWhiteBagCorrect,Clutch_of_Kings_(Reeshan),Hand correct marbles to white bag,,You picked the correct contents for the white bag.,FALSE
BanderlingHauntEmblemAcquired0105,Banderling_Haunt,Loot Stone Emblem,,Player has picked up Stone Emblem,FALSE
BanderlingHauntGemAcquired0105,Banderling_Haunt,Loot Murky Gem,,Player has picked up Murky Gem,FALSE
BanderlingHauntOilyStoneAcquired0105,Banderling_Haunt,Loot Oily Stone,,Player has picked up the Oily Stone.,FALSE
BanderlingHauntRingAcquired0105,Banderling_Haunt,Loot Ring of Vines,,Player has picked up Ring of Vines,FALSE
BanderlingMaceHead,Mace_of_the_Explorer_Quest,Loot Bandlering Mace Head,,Banderling Mace Head,FALSE
BanderlingMaceShaft,Mace_of_the_Explorer_Quest,Loot Banderling mace shaft,,Banderling Mace Shaft,FALSE
BanditBlades,,,,Bandits' Blazing Blades,FALSE
BarbaricMukkirlordHead_Pickup,Mukkir_Nest_Quest,Loot Barbaric Mukkir Nest-Lords's Head,,Player has picked up Barbaric Mukkir Nest-lord's Head.,FALSE
BarkOswaldTaken,Oswald's_Dirk_Quest,,,Took the bark,FALSE
BeachFortMoarsmenComplete_0508,Moarsmen_on_the_Shores_(Beach_Fort),,,Player has completed the Beach Fort portion of Moarsmen on the Shores,FALSE
beacongemobtained,The_Beacon,Speak to Elena Du Furza,,Cooldown for obtaining another beacon gem,FALSE
BelindaKillTasksStart,Rare_Game_Kill_Task,Speak to Belinda Du Loc,,Player has started Belindas Kill Tasks,FALSE
BestowerBasePiece,Bestowers'_Guild_of_Dereth,Pick up Skill Puzzle Base Piece in any tent,,The base piece for the Bestowers' Guild skill puzzle.,FALSE
BestowerBow1,Bestowers'_Guild_of_Dereth,Hand in Bow puzzle piece to Bestower Examiner,,Sharpshooter,FALSE
BethelCompleted,Raeta's_Necklace_Quest,,,Bethel of Butterflies once players have brought the amulet to Aun Papileona he will stamp them so he will not send them on the quest again for one week.,FALSE
BethelCompleted02,Raeta's_Necklace_Quest,,,Bethel of Butterflies players may pick the key off the boss monster only once a week,FALSE
blackboulder,Lady_Aerfalle_Quest,Loot Black Boulder from Behemoth of Tenkarrdun,Spawns after turning in bellows,Picked up Black Boulder/Blackfire Atlan Stone,FALSE
blackferahsvault_start,Mukkir_Aspect_of_Grael_Quest,Speak to Varetha,,Player has access to Black Ferahs Vault,FALSE
blackspearbufftimer,Non-Quest,Use any of the black Spear rewards from Aspect of Grael Quests,No different qb in using ruschk shadow or mukkir versions,Player has used on of the Black Spears,FALSE
BlackSpearIceTotemCompleted,The_Black_Spear_Ice_Totem,Turn in Totem to either NPC,,Player has completed the Black Spear Ice Totem Quest,FALSE
BlackSpearIceTotemStarted,The_Black_Spear_Ice_Totem,Speak to Arialle or Kalakh,Doesn't seem to be different qb for other NPC,Player has started the Black Spear Ice Totem Quest,FALSE
BlackSpearIceTotem_Pickup,The_Black_Spear_Ice_Totem,Loot Black Spear Ice Totem,,Player has picked up the Black Spear Ice Totem,FALSE
BlackSpearTempleUpperLevel_Flag,Rossu_Morta_Chapterhouse_Access,Speak with Melaverre,,Access granted to the Black Spear Temple Upper Levels,FALSE
BlankAugLuminanceTimer_0511,Non-Quest,Turn in Luminance Aug Token to Nalicana,"Must say yes and spend the lum, saying no does not give the qb",Cooldown timer for Augmentation Gem turn-in,FALSE
BlessedCaveCompleted_0912,Releasing_the_Light,,,quest timer,FALSE
BlessedCaveReachedEnd,Releasing_the_Light,,,quest timer,FALSE
BlessedCaveStarted_0912,Releasing_the_Light,Speak with Shah-hi,,quest timer,FALSE
BloodGemBlueAcquired0805,Ricardo's_Blood_Gem,,,Ricardo's Blood Gem - Blue,FALSE
BloodGemQuestCompleted0805,Ricardo's_Blood_Gem,,,Ricardo's Blood Gem Complete,FALSE
BloodJewelHighPickedUp,The_Callous_Heart_Quest_(Medium),,,Player has collected the high Blood Jewel.,FALSE
BloodJewelMidPickedUp,The_Callous_Heart_Quest_(High),,,Player has collected the mid Blood Jewel.,FALSE
BloodPuzzleCompleted,Clutch_of_Kings_(Browerk),,,You've compleated the Clutch of Kings blood puzzle.,FALSE
BlueFireInfusion,Lady_Aerfalle_Quest,Loot Blue Fire Infusion from Mount Lethe Hellfire,,Blue Fire SOLL Infusion,FALSE
BlueprintsBurunFort,Hidden_Entrance_Quest,Loot Blueprints for a Burun Fortress,,You have picked up the Burun Ingress Fort Blueprints.,FALSE
BonecrunchKeyPickupTimer,Aerbax's_Prodigal_Drudge,Loot Bonecrunch's Chest Key,,Player has picked up Bonecrunchs Key,FALSE
Book100Paths7Quest,Musansayn's_Library,,,Book 100 Paths Quest,FALSE
BookErcelQuest,Ercel's_Lost_Book,,,Retreive Ercel's Book,FALSE
BookFalatacotWay,,,,Player has received a copy of the Falatacot Way.,FALSE
BookKouQuest,Magical_Lights,,,Book Kou Quest,FALSE
BookNoir1,Noir_Assassination_Investigation,,,You've looked at Jake's journal.,FALSE
BossHelmAcquired0205,Sezzherei's_Lair_Quest,,,You looted the Salvaging Helm.,FALSE
BossTokenAcquired0205,Sezzherei's_Lair_Quest,,,You acquired a token denoting you the Sezzherei Slayer!,FALSE
BoyGrubCompletedQuest,Putiputipuh's_Onga,,,Has the player completed the quest?,FALSE
BoyGrubGaveAhna,Putiputipuh's_Onga,,,Has the player given Tekapuapuh an Ahna?,FALSE
BoyGrubGavePah,Putiputipuh's_Onga,,,Has the player given Tekapuapuh a Pan?,FALSE
BoyGrubGotBow,Putiputipuh's_Onga,,,Has the player been given the Panaq bow?,FALSE
BoyGrubInfested,Putiputipuh's_Onga,,,Has the player used the Infested cistern?,FALSE
BoyGrubStartedQuest,Putiputipuh's_Onga,,,Has the player started the quest?,FALSE
BoyGrubTookAhna,Putiputipuh's_Onga,,,Has the player picked up an Ahna?,FALSE
BoyGrubTookNaq,Putiputipuh's_Onga,,,Has the player picked up a Naq?,FALSE
BoyGrubTookPah,Putiputipuh's_Onga,,,Has the player picked up a Pan?,FALSE
BraceletLouEiQuest,Lou_Ei's_Stolen_Bracelet,,,Bracelet Lou Ei Quest,FALSE
BraceletOfPassage,Plateau_Village_Transit,,,Wearing Bracelet Of Passage,FALSE
BraidMansionRuinCompleted_1111,Lou_Ka's_Stolen_Items,,,Completed Braid Mansion Ruin (Lou Ka's Stolen Items),FALSE
brewmasterback,Brewmaster_Quest,,,Brew Master Quest Pickup Timer Back,FALSE
brewmastercover,Brewmaster_Quest,,,Brew Master Quest Pickup Timer Cover,FALSE
brewmasterpages,Brewmaster_Quest,,,Brew Master Quest Pickup Timer Pages,FALSE
BrightAetheriumOreFragmentPickedUp,Aetherium_Raid_(High),Pick up Bright Aetherium ore Fragment,,You have obtained a Bright Aetherium Ore Fragment.,FALSE
BrilliantShardGiven,Gateway_to_the_Deep,,,Brilliant Shard given to Rhujun,FALSE
BrokenKeyRingMartine,Collegium_Occultus_Ring_Quest,,,Player has picked up the Broken Singularity Keyring,FALSE
BrokenKeyTeethMartine,Collegium_Occultus_Ring_Quest,,,Player has been picked up the Broken Singularity Key Teeth,FALSE
brokenoccultusseal,Collegium_Occultus_Ring_Quest,,,Broken Occultus Seal,FALSE
brokenoccultussealgiven,Collegium_Occultus_Ring_Quest,,,Broken Occultus Seal given,FALSE
bronzegauntlettrooperkillcount,Bronze_Gauntlet_Trooper_Kill_Task,,,kill count,FALSE
BronzeGauntletTrooperKillTask,Bronze_Gauntlet_Trooper_Kill_Task,,,kill task timer,FALSE
BroodMatronCarapacePickedUp,Asheron's_Raiment_Quest_(Extreme),,,You have obtained a Brood Matron Carapace.,FALSE
BroodMatronClawPickedUp,Asheron's_Raiment_Quest_(Low),,,You have obtained a Brood Matron Claw.,FALSE
BroodMatronCrestPickedUp,Asheron's_Raiment_Quest_(High),,,You have obtained a Brood Matron Crest.,FALSE
BroodMatronPincerPickedUp,Asheron's_Raiment_Quest_(Mid),,,You have obtained a Brood Matron Pincer.,FALSE
BroodMotherOneDead,Moarsman_Spawning_Pools,,,BroodMotherOneDead,FALSE
BroodMothersReckBlue42,Moarsman_Spawning_Pools,,,Brood Mothers Riddle,FALSE
BroodMotherThreeDead,Moarsman_Spawning_Pools,,,BroodMotherThreeDead,FALSE
BroodMotherTwoDead,Moarsman_Spawning_Pools,,,BroodMotherTwoDead,FALSE
BroodMotherZeroDead,Moarsman_Spawning_Pools,,,BroodMotherZeroDead,FALSE
BrooduBeaten,Clutch_of_Kings_(Broodu),,,You've beaten Broodu.,FALSE
BrooduComplete,Clutch_of_Kings_(Broodu),,,You've completed the Broodu quest.,FALSE
BrooduKilled,Clutch_of_Kings_(Broodu),,,You killed Broodu.,FALSE
BrowerkBeaten,Clutch_of_Kings_(Browerk),,,You've beaten Browerk.,FALSE
BrowerkComplete,Clutch_of_Kings_(Browerk),,,You've completed the Browerk quest.,FALSE
BrowerkKilled,Clutch_of_Kings_(Browerk),,,You killed Browerk.,FALSE
BurFlagged(Gem),Asheron's_Trail,,,One of three flags for 1-79 Portal to Bur,FALSE
BurFlagged(Metal),Asheron's_Trail,,,One of three flags for 1-79 Portal to Bur,FALSE
BurFlagged(Motes),Asheron's_Trail,,,One of three flags for 1-79 Portal to Bur,FALSE
BurFlagged(Permanent),Asheron's_Trail,,,You can take the portal to Bur.,FALSE
BuriedAliveCompleted1212,Crystal_Core_Quest,,,Picked up Blazing Shard,FALSE
BuriedAliveStarted1212,Crystal_Core_Quest,,,Started Crystal Core Quest,FALSE
BurnjasBoardTurnInRepeat,Aerbax's_Prodigal_Drudge,,,Player has already turned in 1 Burnjas Board with nails,FALSE
BurRecall_Repeat,Bur_Recall_Quest,,,Player has completed Bur Recall at least once,FALSE
BurRecall_Start,Bur_Recall_Quest,,,Player is flagged for Bur Recall portion of lockbox,FALSE
BurRecall_Wait,Bur_Recall_Quest,,,Wait timer for Bur Recall,FALSE
BurunContact,First_Contact,,,You have learned that the Renegades mean to make contact with the Burun.,FALSE
BurunIngressDirelands,Burun_Liberator,,,You can now enter the Burun temple in the Direlands.,FALSE
BurunLiberator_Repeat,Burun_Liberator,,,Player has completed Burun Liberator Quest once,FALSE
